,Unnamed: 0,S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Day,Date-old,Islamic Date Old,coordinates,Islamic Month,Year,Weights
65,65,66,2007-09-13,<ummalqura.hijri_date.HijriDate object at 0x122ce8320>,Working Day,,7:15:00 PM,haripur,34.0011,72.9372,kpk,army officers mess in Tarbela ghazi,Military,High,Closed, military convoy,Military,None,15.0,20.0,11.0,46,1.0,,1.Wapda Hospital    2.CMH Pindi  3.CMH Attock ,26.975,80.555,Thursday,Thursday-September 13-2007,1 RamaDHaan 1428 A.H,"(34.0011,72.9372)",9,2007,0
66,66,67,2007-09-22,<ummalqura.hijri_date.HijriDate object at 0x122ce8358>,Working Day,,2:00:00 AM,tank,32.226,70.3761,kpk,military convoy going from Tank,Mobile,High,Open, ,Military,None,,5.0,3.0,10,1.0,,,24.705,76.469,Saturday,Saturday-September 22-2007,10 RamaDHaan 1428 A.H,"(32.226,70.3761)",9,2007,0
67,67,68,2007-10-01,<ummalqura.hijri_date.HijriDate object at 0x122ce8390>,Working Day,,8:30:00 AM,bannu,32.9861,70.6042,kpk,checkpost near Dawa bridge/Durani Abshar Chowk,Police,High,Open,,police,None,,16.0,29.0,32,1.0,,1.District Headquartar  Hospital ,24.57,76.226,Monday,Monday-October 1-2007,19 RamaDHaan 1428 A.H,"(32.9861,70.6042)",9,2007,0
68,68,69,2007-10-18,<ummalqura.hijri_date.HijriDate object at 0x122ce8438>,Working Day,,12:00 mid night,karachi,24.9918,66.9911,sindh,Benazir Survives midnight  carnage Karsaz bridge Sharea Faisal,Mobile,High,Open,Rally ppp,Government Official,None,125.0,145.0,100.0,550,2.0,,1.Jinnah Hospital  2.Liaquat hospital ,28.025,82.445,Thursday,Thursday-October 18-2007,6 SHawwal 1428 A.H,"(24.9918,66.9911)",10,2007,0
69,69,70,2007-10-25,<ummalqura.hijri_date.HijriDate object at 0x122ce84a8>,Working Day,,2:45:00 PM,swat,35.2227,72.4258,kpk,Mingora Police Line ,Mobile,High,Open,,Military,None,20.0,38.0,28.0,35,1.0,,1.Saidu Shrif hospital ,21.025,69.845,Thursday,Thursday-October 25-2007,13 SHawwal 1428 A.H,"(35.2227,72.4258)",10,2007,0
70,70,71,2007-10-30,<ummalqura.hijri_date.HijriDate object at 0x122ce8518>,Working Day,,11:50:00 AM,rawalpindi,33.6058,73.0437,punjab,Rawalpindi police checkpoint  security zone,Police,High,Open,,Military,None,7.0,8.0,18.0,31,1.0,,1.CMH 2.Civil hospital,20.905,69.62899999999999,Tuesday,Tuesday-October 30-2007,18 SHawwal 1428 A.H,"(33.6058,73.0437)",10,2007,0
71,71,72,2007-11-01,<ummalqura.hijri_date.HijriDate object at 0x122ce85c0>,Working Day,,7:10:00 AM,sargodha,32.0791,72.6718,punjab,PAF Bus on faisalabad road-Sargodha ,Mobile,High,Open,PAF Bus,Military,None,8.0,10.0,27.0,40,1.0,10 kg ,1.PAF Sargodha  2.CMH Rwp,20.82,69.476,Thursday,Thursday-November 1-2007,20 SHawwal 1428 A.H,"(32.0791,72.6718)",10,2007,10
72,72,73,2007-11-09,<ummalqura.hijri_date.HijriDate object at 0x122ce85f8>,Holiday,Iqbal Day,4:15:00 PM,peshawar,34.0043,71.5448,kpk,Peshawar  Federal minister  political amir muqam house,Residence,Low,Closed,Political Affairs meeting,Government Official,None,3.0,4.0,2.0,5,1.0,5 to 6 Kg,1.Hayatabad Medical Complex,19.445,67.001,Friday,Friday-November 9-2007,28 SHawwal 1428 A.H,"(34.0043,71.5448)",10,2007,6
73,73,74,2007-11-24,<ummalqura.hijri_date.HijriDate object at 0x122ce8668>,Working Day,,7:40:00 AM,rawalpindi,33.6058,73.0437,punjab,Bus carrying ISI officals parked outside Hamza Camp faizabad ,Mobile,High,Open,Hamza camp,Military,None,17.0,38.0,,35,1.0,,1.Military Hospital  2.Rawalpindi hospital ,15.555,59.999,Saturday,Saturday-November 24-2007,14 Thw al-Qi`dah 1428 A.H,"(33.6058,73.0437)",11,2007,0
74,74,75,2007-11-24,<ummalqura.hijri_date.HijriDate object at 0x122ce8748>,Working Day,,7:50:00 AM,rawalpindi,33.6058,73.0437,punjab,GHQ,Military,High,Open,,Military,None,,1.0,2.0,5,1.0,,,15.555,59.999,Saturday,Saturday-November 24-2007,14 Thw al-Qi`dah 1428 A.H,"(33.6058,73.0437)",11,2007,0
75,75,76,2007-12-04,<ummalqura.hijri_date.HijriDate object at 0x122ce8710>,Working Day,,,peshawar,34.0043,71.5448,kpk,Checkpost high-security cantonment area babar road,Military,High,Open,,Military,None,,1.0,,0,1.0,,,14.73,58.514,Tuesday,Tuesday-December 4-2007,24 Thw al-Qi`dah 1428 A.H,"(34.0043,71.5448)",11,2007,0
76,76,77,2007-12-09,<ummalqura.hijri_date.HijriDate object at 0x122ce87b8>,Holiday,Weekend,11:15:00 AM/12:30 PM,swat,35.2227,72.4258,kpk,Ningolai Security checkpost,Police,High,Open,,Police,None,10.0,13.0,,2,1.0,10 to 15 kg,,11.925,53.465,Sunday,Sunday-December 9-2007,29 Thw al-Qi`dah 1428 A.H,"(35.2227,72.4258)",11,2007,15
77,77,78,2007-12-10,<ummalqura.hijri_date.HijriDate object at 0x122ce8828>,Working Day,,7:24:00 AM/7:30AM,attock,33.7645,72.3667,punjab,Truck carrying school children near Fauji gate Pakistan Aeranautical Complex,Mobile,Low,Open,,Children/Women,None,,0.0,7.0,22,1.0,,1.CMH Rwp,12.13,53.834,Monday,Monday-December 10-2007,30 Thw al-Qi`dah 1428 A.H,"(33.7645,72.3667)",11,2007,0
78,78,79,2007-12-13,<ummalqura.hijri_date.HijriDate object at 0x122ce8898>,Working Day,,4:50:00 PM,quetta,30.2095,67.0182,baluchistan,military Checkpost ,Military,High,Open,,Military,None,5.0,12.0,22.0,23,2.0,,1.CMH hospital ,4.16,39.488,Thursday,Thursday-December 13-2007,3 Thw al-Hijjah 1428 A.H,"(30.2095,67.0182)",12,2007,0
79,79,80,2007-12-15,<ummalqura.hijri_date.HijriDate object at 0x122ce88d0>,Working Day,,9:25:00 AM,nowshehra,34.0322,73.0944,kpk,Noshera security check post,Military,High,Open,,Military,None,5.0,6.0,11.0,20,1.0,,1.CMH Nowshera,9.515,49.127,Saturday,Saturday-December 15-2007,5 Thw al-Hijjah 1428 A.H,"(34.0322,73.0944)",12,2007,0
80,80,81,2007-12-17,<ummalqura.hijri_date.HijriDate object at 0x122ce8908>,Working Day,,12:30:00 PM,kohat,33.5833,71.4333,kpk,kohat cantt-fountain round about-near army public school,Military,High,Open,recruits returning to barracks after morning exercise,Military,None,,12.0,2.0,5,1.0,more than 5Kg,Combine Military hospital,11.345,52.42100000000001,Monday,Monday-December 17-2007,7 Thw al-Hijjah 1428 A.H,"(33.5833,71.4333)",12,2007,5
81,81,82,2007-12-21,<ummalqura.hijri_date.HijriDate object at 0x122ce8978>,Holiday,Eid-ul-Azha,,charsadda,34.1509,71.7359,kpk,Charsadda Jamiya Masjid ,Religious,Medium,Closed,Masjid,Civilian,Sunni,,60.0,,200,1.0,5 to 6 kg,,15.0,59.0,Friday,Friday-December 21-2007,13 Thw al-Hijjah 1428 A.H,"(34.1509,71.7359)",12,2007,6
82,82,83,2007-12-23,<ummalqura.hijri_date.HijriDate object at 0x122ce89e8>,Holiday,Weekend,6:00:00 PM,swat,35.2227,72.4258,kpk,military convoy hit in mingora,Mobile,High,Open,,Military,None,9.0,14.0,,23,1.0,,,12.76,54.968,Sunday,Sunday-December 23-2007,13 Thw al-Hijjah 1428 A.H,"(35.2227,72.4258)",12,2007,0
83,83,84,2007-12-27,<ummalqura.hijri_date.HijriDate object at 0x122ce8a58>,Working Day,,5:10:00 PM,rawalpindi,33.6058,73.0437,punjab,Rawalpindi Liaquat Bagh Park,Park/Ground,Low,Open,attack on Benazir Bhutto,Government official,None,21.0,30.0,48.0,70,1.0,,Rawalpindi General hospital,10.21,50.378,Thursday,Thursday-December 27-2007,17 Thw al-Hijjah 1428 A.H,"(33.6058,73.0437)",12,2007,0
84,84,85,2008-01-07,<ummalqura.hijri_date.HijriDate object at 0x122ce8a90>,Working Day,,11:15:00 AM,swat,35.2227,72.4258,kpk,infront of frontier house kabal,Military,High,Open,Security forces ,Military,None,,,12.0,13,1.0,,,6.77,44.18600000000001,Monday,Monday-January 7-2008,28 Thw al-Hijjah 1428 A.H,"(35.2227,72.4258)",12,2008,0
85,85,86,2008-01-10,<ummalqura.hijri_date.HijriDate object at 0x122ce8b38>,Working Day,,11:40:00 AM,lahore,31.5451,74.3407,punjab,Lahore High court ,Government,High,Open,lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the police officials outside the court,Police,None,24.0,26.0,73.0,80,1.0,15 kg,1.Mayo-Ganga ram hospital ,13.89,57.002,Thursday,Thursday-January 10-2008,1 MuHarram 1429 A.H,"(31.5451,74.3407)",1,2008,15
86,86,87,2008-01-15,<ummalqura.hijri_date.HijriDate object at 0x122ce8ba8>,Working Day,,10:30:00 AM,mohmand agency,32.9746,70.1456,fata,checkpoint of security forces in Khapakh Kando near Ghalanai,Military,High,Open,Frontier Constabulary,Military,None,1.0,1.0,,,1.0,,Ghalani hospital ,5.145,41.261,Tuesday,Tuesday-January 15-2008,6 MuHarram 1429 A.H,"(32.9746,70.1456)",1,2008,0
87,87,88,2008-01-17,<ummalqura.hijri_date.HijriDate object at 0x122ce8c50>,Working Day,,6:00:00 PM/6:55PM,peshawar,34.0043,71.5448,kpk,Mirza Qasim baig Imambargah Jangi Mohallah-kohati,Religious,Medium,Closed,Imambargah,Religious,shiite,10.0,12.0,,25,1.0,3 kg explosive and 3kg ball bearings,1.Lady Reading hospital ,12.34,54.212,Thursday,Thursday-January 17-2008,8 MuHarram 1429 A.H,"(34.0043,71.5448)",1,2008,3
88,88,89,2008-02-01,<ummalqura.hijri_date.HijriDate object at 0x122ce8cc0>,Working Day,,4:30:00 PM,north waziristan,32.9746,70.1456,fata,Kajhori checkpost north waziristan,Police,High,Open,Checkpost ,Police,None,5.0,7.0,13.0,15,1.0,,1.CMH bannu 2.MH Bannu,2.475,36.455,Friday,Friday-February 1-2008,23 MuHarram 1429 A.H,"(32.9746,70.1456)",1,2008,0
89,89,90,2008-02-04,<ummalqura.hijri_date.HijriDate object at 0x122ce8d30>,Working Day,,7:24:00 AM/7:25AM/7:30 AM,rawalpindi,33.6058,73.0437,punjab,Infront of NLC office near GHQ Rwp,Mobile,High,Open,bus carrying students and officials of army medical college-,Military,None,8.0,10.0,27.0,47,1.0,6-7kg,1.CMH 2.MH 3. DHQ,8.42,47.15600000000001,Monday,Monday-February 4-2008,26 MuHarram 1429 A.H.,"(33.6058,73.0437)",1,2008,7
90,90,91,2008-02-05,<ummalqura.hijri_date.HijriDate object at 0x122ce8da0>,Working Day,,NA ,quetta,30.2095,67.0182,baluchistan,Quetta Khilji Conlony,Park/Ground,Low,Open,Khilji colony,Civilian,None,,1.0,,1,1.0,,,-2.37,27.734,Tuesday,Tuesday-February 5-2008,27 MuHarram 1429 A.H,"(30.2095,67.0182)",1,2008,0
91,91,92,2008-02-09,<ummalqura.hijri_date.HijriDate object at 0x122ce8e10>,Working Day,,NA ,charsadda,34.1509,71.7359,kpk,Nakai in charsadda,Residence,Low,Closed,Awami National Party meeting was in progress,Government Official,None,25.0,27.0,35.0,51,1.0,,1.Lady Reading Hospital 2. DHQ charsadda,7.935,46.283,Saturday,Saturday-February 9-2008,2 safar 1429 A.H.,"(34.1509,71.7359)",2,2008,0
92,92,93,2008-02-11,<ummalqura.hijri_date.HijriDate object at 0x122ce8e48>,Working Day,,12:55:00 PM,north waziristan,32.9746,70.1456,fata,Aidak village in mirali-near miranshah,Religious,Low,Open,ANP gathring,Government official,None,6.0,10.0,9.0,13,1.0,,,2.245,36.041,Monday,Monday-February 11-2008,4 safar 1429 A.H,"(32.9746,70.1456)",2,2008,0
93,93,94,2008-02-16,<ummalqura.hijri_date.HijriDate object at 0x122ce8eb8>,Working Day,,,swat,35.2227,72.4258,kpk,Mingora-army media center on saidu sharif road,Military,High,Closed,army media center and base near Gul Kadda,Military,None,2.0,3.0,14.0,18,1.0,,District headquarters hospital saidu sharif,12.725,54.905,Saturday,Saturday-February 16-2008,9 safar 1429 A.H.,"(35.2227,72.4258)",2,2008,0
94,94,95,2008-02-16,<ummalqura.hijri_date.HijriDate object at 0x122ce8ef0>,Working Day,,evening,kurram agency,35.2227,72.4258,fata,PPP election office in Eidgah market of Parachinar bazar,Government,High,Closed,,Government official,None,38.0,47.0,109.0,110,1.0,,Agency headquarter hospital,12.725,54.905,Saturday,Saturday-February 16-2008,9 safar 1429 A.H.,"(35.2227,72.4258)",2,2008,0
95,95,96,2008-02-25,<ummalqura.hijri_date.HijriDate object at 0x122ce8f28>,Working Day,,2:45:00 PM,rawalpindi,33.6058,73.0437,punjab,Rawalpindi-R.A bazar mall road Sadar-nadira suift center,Mobile,High,Closed,near Surgeon-gernal car on signal,Military,None,,8.0,20.0,30,1.0,4-5kg,1.CMH 2.MH 3.Contonment hospital 4. rwp general hospital 5. DHQ hospital,14.47,58.04600000000001,Monday,Monday-February 25-2008,18 safar 1429 A.H,"(33.6058,73.0437)",2,2008,5
96,96,97,2008-02-29,<ummalqura.hijri_date.HijriDate object at 0x122ce8f98>,Working Day,,8:00 PM,swat,32.935,70.6688,kpk,Swat Mingora DSP Funeral,Park/Ground,Low,Open,,Police,None,38.0,45.0,40.0,100,1.0,,1.Saidu Shrif hospital ,19.85,67.73,Friday,Friday-February 29-2008,22 safar 1429 A.H.,"(32.935,70.6688)",2,2008,0
97,97,98,2008-03-01,<ummalqura.hijri_date.HijriDate object at 0x122cca048>,Working Day,,,bajaur agency,34.8718,71.5249,fata,Khar-jardar area,Mobile,High,Open,,Military,None,,2.0,,23,1.0,,,19.375,66.875,Saturday,Saturday-March 1-2008,23 safar 1429 A.H.,"(34.8718,71.5249)",2,2008,0
98,98,99,2008-03-02,<ummalqura.hijri_date.HijriDate object at 0x122cca0b8>,Holiday,Weekend,11:00:00 AM,dara adam khel,33.6854,71.5131,kpk,Dara adamkhel Jirga ,Park/Ground,Low,Open,peace Jirga ,Anti-Militants,None,40.0,43.0,50.0,60,1.0,,1.Lady Reading Hospital 2.Hayatabad medical Complex,19.455,67.01899999999999,Sunday,Sunday-March 2-2008,24 safar 1429 A.H.,"(33.6854,71.5131)",2,2008,0
99,99,100,2008-03-04,<ummalqura.hijri_date.HijriDate object at 0x122cca160>,Working Day,,1:05PM,lahore,31.5451,74.3407,punjab,Navy war college mall road lahore,Military,High,Closed,Navy college ,Military,None,4.0,8.0,15.0,24,2.0,,1.CMH 2.Service hospital,20.655,69.179,Tuesday,Tuesday-March 4-2008,26 safar 1429 A.H,"(31.5451,74.3407)",2,2008,0
100,100,101,2008-03-11,<ummalqura.hijri_date.HijriDate object at 0x122cca208>,Working Day,,9:15 AM to 9:20:00 AM,lahore,31.5451,74.3407,punjab,FIA building Temple road near The Mall-near regal chowk,Government,High,Closed,,Government Official,None,26.0,31.0,175.0,200,1.0,50kg,1.Ganga Ram Hospita 2.Mayo Hospital ,21.295,70.331,Tuesday,Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,"(31.5451,74.3407)",3,2008,50
101,101,102,2008-03-11,<ummalqura.hijri_date.HijriDate object at 0x122cca2b0>,Working Day,,9:20:00 AM,lahore,31.5451,74.3407,punjab,Bungalow no 83/F Model Town-an advertising agency office,Residence,Low,Closed,,Civilian,None,3.0,6.0,,12,1.0,30kg ,Ganga Ram hospital ,21.295,70.331,Tuesday,Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,"(31.5451,74.3407)",3,2008,30
102,102,103,2008-03-17,<ummalqura.hijri_date.HijriDate object at 0x122cca358>,Working Day,,,swat,35.2227,72.4258,kpk,Mingora police Lines ,Police,High,Closed,,Police,None,2.0,3.0,5.0,7,1.0,,Saidu Sharif hospital,22.5,72.5,Monday,Monday-March 17-2008,9 Raby` al-awal 1429 A.H.,"(35.2227,72.4258)",3,2008,0
103,103,104,2008-03-20,<ummalqura.hijri_date.HijriDate object at 0x122cca400>,Holiday,Eid Milad un-Nabi,3:00 PM,south waziristan,32.3202,69.8597,fata,Army Camp at Zari noor-Wana,Military,High,Closed,,Military,None,,5.0,9.0,11,1.0,,Military Hospital ,18.655,65.579,Thursday,Thursday-March 20-2008,12 Raby` al-awal 1429 A.H.,"(32.3202,69.8597)",3,2008,0
104,104,105,2008-05-01,<ummalqura.hijri_date.HijriDate object at 0x122cca470>,Holiday,Labour Day,Thursday Morning,khyber agency,34.0211,71.2874,fata,Takia-Bar Qambarkhel Mosque,Religious,Medium,Closed,,Religious,Sunni,,2.0,17.0,30,1.0,,,28.985,84.17299999999999,Thursday,Thursday-May 1-2008,25 Raby` al-THaany 1429 A.H,"(34.0211,71.2874)",4,2008,0
105,105,106,2008-05-06,<ummalqura.hijri_date.HijriDate object at 0x122cca4e0>,Working Day,,8:40:00 AM/9:30:00 AM,bannu,32.935,70.6688,kpk,Bannu police  check post,Police,High,Open,,Police,None,3.0,7.0,10.0,15,1.0,,1.DHQ 2.CMH,28.62,83.516,Tuesday,Tuesday-May 6-2008,1 Jumaada al-awal 1429 A.H,"(32.935,70.6688)",5,2008,0
106,106,107,2008-05-09,<ummalqura.hijri_date.HijriDate object at 0x122cca588>,Working Day,,Friday Night,swat,35.2227,72.4258,kpk,Mingora police Station ,Police,High,Closed,,Police,None,,1.0,3.0,4,1.0,,1.district headquarters hospital saidu sharif ,23.985,75.173,Friday,Friday-May 9-2008,4 Jumaada al-awal 1429 A.H,"(35.2227,72.4258)",5,2008,0
107,107,108,2008-05-18,<ummalqura.hijri_date.HijriDate object at 0x122cca630>,Holiday,Weekend,8:00:00 PM,mardan,34.1982,72.0444,kpk,Military run bakery near a punjab regiment center in Mardan cantt,Military,High,Closed,,Military,None,11.0,13.0,23.0,25,1.0,,1.CMH 2.District Headqurtar Hospital ,29.61,85.29799999999999,Sunday,Sunday-May 18-2008,13 Jumaada al-awal 1429 A.H.,"(34.1982,72.0444)",5,2008,0
108,108,109,2008-06-02,<ummalqura.hijri_date.HijriDate object at 0x122cca6d8>,Working Day,,1:00:00 PM/1:05PM,islamabad,33.718,73.0718,capital,Islamabad Danish Embassy,Foreign,High,Closed,,Foreigner,Jews,,8.0,25.0,30,1.0,50kg,1.PIMS 2.Federal Government Service Hospital,26.5,79.7,Monday,Monday-June 2-2008,28 Jumaada al-awal 1429 A.H.,"(33.718,73.0718)",5,2008,50
109,109,110,2008-07-06,<ummalqura.hijri_date.HijriDate object at 0x122cca780>,Holiday,Weekend,7:50:00/7:45:00 PM,islamabad,33.718,73.0718,capital,Melody market near lal masjid,Market,Low,Open,,Police,None,15.0,20.0,20.0,47,1.0,5 kg,1.PIMS 2.Poly Clinic 3.Federal Government Service Hospital,26.86,80.348,Sunday,Sunday-July 6-2008,3 Rajab 1429 A.H.,"(33.718,73.0718)",7,2008,5
110,110,111,2008-07-13,<ummalqura.hijri_date.HijriDate object at 0x122cca828>,Holiday,Weekend,,d.i khan,31.8238,70.9095,kpk,Shiite gathering -Near kotli imam Hussain,Religious,Medium,Closed,,Religious,Shiite,,1.0,3.0,4,1.0,,,31.075,87.935,Sunday,Sunday-July 13-2008,10 Rajab 1429 A.H,"(31.8238,70.9095)",7,2008,0
111,111,112,2008-08-13,<ummalqura.hijri_date.HijriDate object at 0x122cca8d0>,Working Day,,11:35:00 PM,lahore,31.5451,74.3407,punjab,neaar Iqbal Town police Station Lahore at dubai CHOWK SIGNAL,Police,High,Open,,Police,None,8.0,9.0,20.0,35,1.0,,1.Sheikh Zahid Hospital,25.835,78.503,Wednesday,Wednesday-August 13-2008,12 SHa`baan 1429 A.H,"(31.5451,74.3407)",8,2008,0
112,112,113,2008-08-19,<ummalqura.hijri_date.HijriDate object at 0x122cca940>,Working Day,,1:30:00 PM,d.i khan,31.8238,70.9095,kpk,Distric headquarter hospital,Hospital,Low,Closed,during the shiite protest against the death of shiite govt official,Civilian,Shiite,30.0,32.0,33.0,55,1.0,,1.Combined Military Hospital ,31.495,88.691,Tuesday,Tuesday-August 19-2008,18 SHa`baan 1429 A.H.,"(31.8238,70.9095)",8,2008,0
113,113,114,2008-08-21,<ummalqura.hijri_date.HijriDate object at 0x122cca9e8>,Working Day,,2:37:00 PM,rawalpindi,33.6058,73.0437,punjab,Wah Cant Pakistn Ordinance Factories ,Military,High,Closed,,Government Official,None,70.0,100.0,67.0,200,2.0,,pof hospital,28.89,84.00200000000002,Thursday,Thursday-August 21-2008,20 SHa`baan 1429 A.H,"(33.6058,73.0437)",8,2008,0
114,114,115,2008-08-23,<ummalqura.hijri_date.HijriDate object at 0x122ccaa58>,Working Day,,7:45:00 AM,swat,35.2227,72.4258,kpk,Charbagh checkpost,Police,High,Open,,Police,None,7.0,15.0,,20,1.0,100Kg,1.Saidu sharif hospital ,25.69,78.242,Saturday,Saturday-August 23-2008,22 SHa`baan 1429 A.H,"(35.2227,72.4258)",8,2008,100
115,115,116,2008-08-29,<ummalqura.hijri_date.HijriDate object at 0x122ccaac8>,Working Day,,7:00:00 AM,kohat,33.5833,71.4333,kpk,army base camp/emergency center near Kohat tunnel,Military,High,Closed,,Military,None,2.0,5.0,25.0,39,1.0,,1.CMH Kohat,27.705,81.869,Friday,Friday-August 29-2008,28 SHa`baan 1429 A.H,"(33.5833,71.4333)",8,2008,0
116,116,117,2008-09-06,<ummalqura.hijri_date.HijriDate object at 0x122ccab70>,Working Day,,,peshawar,34.0043,71.5448,kpk,Zangali Checkpost on kohat road,Police,High,Open,,Police,None,30.0,35.0,70.0,90,1.0,150Kg,Lady Reading Hospital-Khyber teaching-Hayatabad complex,23.44,74.192,Saturday,Saturday-September 6-2008,6 RamaDHaan 1429 A.H,"(34.0043,71.5448)",9,2008,150
117,117,118,2008-09-16,<ummalqura.hijri_date.HijriDate object at 0x122ccaba8>,Working Day,,Half hour after aftar,swat,35.2227,72.4258,kpk,Kabal check post ,Police,High,Open,,Police,None,2.0,10.0,,25,1.0,,,25.95,78.71,Tuesday,Tuesday-September 16-2008,16 RamaDHaan 1429 A.H,"(35.2227,72.4258)",9,2008,0
118,118,119,2008-09-20,<ummalqura.hijri_date.HijriDate object at 0x122ccac18>,Working Day,,,north waziristan,32.9746,70.1456,kpk,military convoy on Miranshah road near Norak,Mobile,High,Open,,Military,None,7.0,17.0,5.0,20,1.0,,1.CMH Bannu hospital,22.06,71.708,Saturday,Saturday-September 20-2008,20 RamaDHaan 1429 A.H,"(32.9746,70.1456)",9,2008,0
119,119,120,2008-09-20,<ummalqura.hijri_date.HijriDate object at 0x122ccac50>,Working Day,,8:05:00 PM,islamabad,33.718,73.0718,capital,Islamabad Marriott Hotal ,Hotel,Medium,Closed,,Foreigner,None,40.0,60.0,200.0,300,1.0,1000 Kg,1.Poly Clinic  2. PIMS,24.41,75.938,Saturday,Saturday-September 20-2008,20 RamaDHaan 1429 A.H,"(33.718,73.0718)",9,2008,1000
120,120,121,2008-09-22,<ummalqura.hijri_date.HijriDate object at 0x122ccac88>,Working Day,,,swat,35.2227,72.4258,kpk,military security checkpost in Madian Town swat,Military,High,Open,,Military,None,9.0,13.0,2.0,3,1.0,,,21.005,69.809,Monday,Monday-September 22-2008,22 RamaDHaan 1429 A.H,"(35.2227,72.4258)",9,2008,0
121,121,122,2008-09-24,<ummalqura.hijri_date.HijriDate object at 0x122ccacf8>,Working Day,,,quetta,30.2095,67.0182,baluchistan,Quetta cantt military Check post ,Military,High,Open,,Military,None,1.0,14.0,22.0,25,1.0, 8 Kg,1.CMH Hospital 2.Civil Hospital,23.225,73.805,Wednesday,Wednesday-September 24-2008,24 RamaDHaan 1429 A.H,"(30.2095,67.0182)",9,2008,8
122,122,123,2008-10-03,<ummalqura.hijri_date.HijriDate object at 0x122ccad30>,Holiday,Eid-ul-Fitar,4:00:00 PM,peshawar,34.0043,71.5448,kpk,wali bagh charsadda,Residence,Medium,Closed,,Government Official,None,4.0,5.0,,18,1.0,,1.District Hospital Charsadda ,29.445,85.001,Friday,Friday-October 3-2008,3 SHawwal 1429 A.H,"(34.0043,71.5448)",10,2008,0
123,123,124,2008-10-06,<ummalqura.hijri_date.HijriDate object at 0x122ccadd8>,Working Day,,4:45:00 PM,bhakkar,31.6216,71.065,punjab,Bhakkar Rasheed Noranni MNA house,Residence,Medium,Closed,,Government Official,None,22.0,26.0,60.0,100,1.0,,1.Nishtar Hospital Multan,29.025,84.245,Monday,Monday-October 6-2008,6 SHawwal 1429 A.H,"(31.6216,71.065)",10,2008,0
124,124,125,2008-10-09,<ummalqura.hijri_date.HijriDate object at 0x122ccae80>,Working Day,,12:45:00 PM,islamabad,33.718,73.0718,capital,Islamabad Police line-anti terrorist squad building,Police,High,Closed,lawmakers gathered for a secret security briefing,Police,None,,,6.0,12,1.0,60Kg,1. PIMS 2.Federal Government Services,24.17,75.506,Thursday,Thursday-October 9-2008,9 SHawwal 1429 A.H,"(33.718,73.0718)",10,2008,60
125,125,126,2008-10-09,<ummalqura.hijri_date.HijriDate object at 0x122ccaef0>,Working Day,,12:55:00 PM,khyber agency,34.0211,71.2874,fata,near michni post in landi kotal,Mobile,High,Open,,Foreigner,Christian,,0.0,,0,1.0,,,24.47,76.046,Thursday,Thursday-October 9-2008,9 SHawwal 1429 A.H,"(34.0211,71.2874)",10,2008,0
126,126,127,2008-10-10,<ummalqura.hijri_date.HijriDate object at 0x122ccaf60>,Working Day,,,orakzai agency,32.9746,70.1456,fata,anti-taliban Jirga-Khadezai area in upper Orakzai Agency,Park/Ground,Low,Open,,Anti-Militants,Sunni,40.0,85.0,90.0,200,1.0,8 ft deep crater,1.Kohat Dvisional Headquarters Hospital  2.Gahluj hospital 3.Hospitals in Hangu and Kohat ,20.58,69.044,Friday,Friday-October 10-2008,10 SHawwal 1429 A.H,"(32.9746,70.1456)",10,2008,8
127,127,128,2008-10-16,<ummalqura.hijri_date.HijriDate object at 0x122cce048>,Working Day,,,swat,35.2227,72.4258,kpk,Mingora police Station ,Police,High,Closed,,Police,None,,4.0,,27,1.0,,,19.835,67.703,Thursday,Thursday-October 16-2008,16 SHawwal 1429 A.H,"(35.2227,72.4258)",10,2008,0
128,128,129,2008-10-26,<ummalqura.hijri_date.HijriDate object at 0x122cce0b8>,Holiday,Weekend,9:45:00 PM,mohmand agency,32.9746,70.1456,fata,Mohmad Agency-naqi Checkpost ,Military,High,Open,,Military,None,11.0,10.0,,5,1.0,,1.Ghalaanai Hospital ,15.35,59.63,Sunday,Sunday-October 26-2008,26 SHawwal 1429 A.H,"(32.9746,70.1456)",10,2008,0
129,129,130,2008-10-29,<ummalqura.hijri_date.HijriDate object at 0x122cce160>,Working Day,,2:15:00 PM,bannu,32.9861,70.6042,kpk,Militay checkpost cantoment area bannu,Military,High,Open,,Military,None,,,,14,1.0,,1.Combined Military Hospital ,22.09,71.762,Wednesday,Wednesday-October 29-2008,29 SHawwal 1429 A.H.,"(32.9861,70.6042)",10,2008,0
130,130,131,2008-10-31,<ummalqura.hijri_date.HijriDate object at 0x122cce1d0>,Working Day,,1:30:00 PM,mardan,34.1982,72.0444,kpk,outside the office of Mardan DIG in malakand mardan road,Police,High,Closed,,Police,None,9.0,10.0,21.0,25,1.0,,district headquarter hospital,20.895,69.611,Friday,Friday-October 31-2008,2 Thw al-Qi`dah 1429 A.H,"(34.1982,72.0444)",11,2008,0
